"escape",30
"fb",30
"film",30
"gangs",30
"governments",30
"harm",30
"hoax",30
"immigrants",30
"john",30
"justintrudeau",30
"karma",30
"makechinapaypic",30
"orang",30
"passed",30
"prayersforcoronafreeworld",30
"pull",30
"recovered",30
"religion",30
"rin",30
"rmb",30
"shamewho",30
"sit",30
"slow",30
"stopping",30
"stores",30
"suppressing",30
"trash",30
"upset",30
"vc",30
"ventilators",30
"viruscorona",30
"winnie",30
"yall",30
"ashamed",29
"benedictrogers",29
"bir",29
"blockchain",29
"breakingnews",29
"character",29
"charge",29
"cheat",29
"committee",29
"concern",29
"concerned",29
"contra",29
"dc",29
"demands",29
"drink",29
"efforts",29
"emergency",29
"grow",29
"hid",29
"indians",29
"instagram",29
"ji",29
"kan",29
"liberatehk",29
"location",29
"madeincamps",29
"master",29
"mercy",29
"msnbc",29
"nanaman",29
"owe",29
"pan",29
"prayusa",29
"pre",29
"push",29
"pushing",29
"random",29
"reply",29
"repost",29
"rn",29
"slave",29
"slaves",29
"sound",29
"stealing",29
"stopuyghurslavery",29
"sun",29
"supports",29
"tanginang",29
"tax",29
"territory",29
"tough",29
"twt",29
"typical",29
"unemployment",29
"ung",29
"walk",29
"wide",29
"abroad",28
"actress",28
"affairs",28
"agent",28
"alam",28
"amid",28
"beauty",28
"belt",28
"billions",28
"blah",28
"bot",28
"capital",28
"chineseapologizetotheworldforcovid",28
"civilians",28
"cm",28
"complete",28
"considered",28
"didnt",28
"earlier",28
"eventually",28
"feels",28
"fool",28
"grocery",28
"guilty",28
"hasta",28
"hongkongprostests",28
"humanitarian",28
"ig",28
"immigration",28
"infect",28
"io",28
"italia",28
"itu",28
"june",28
"latin",28
"likes",28
"lived",28
"lower",28
"meaning",28
"menos",28
"murdered",28
"muy",28
"nada",28
"note",28
"officially",28
"olympics",28
"parang",28
"policebrutalityhk",28
"promote",28
"quick",28
"results",28
"rip",28
"rock",28
"rthk",28
"strike",28
"sweet",28
"sya",28
"ten",28
"threatened",28
"touch",28
"vai",28
"walang",28
"accounts",27
"affected",27
"airport",27
"bang",27
"base",27
"careful",27
"celebrate",27
"chinamustpaypic",27
"civil",27
"clown",27
"combat",27
"commie",27
"communismkills",27
"congrats",27
"core",27
"coverage",27
"cr",27
"dad",27
"deals",27
"decades",27
"definition",27
"destruction",27
"devil",27
"dnc",27
"dream",27
